Date,Years_to_Maturity,YTM
2026-01-05,0.5749486652977412,2.4492736695000716
2026-01-05,1.0732375085557837,2.4822519060835586
2026-01-05,1.568788501026694,2.5392551563319743
2026-01-05,2.0725530458590007,2.629684894919764
2026-01-05,2.403832991101985,2.626395729371109
2026-01-05,3.1512662559890487,2.7887183331305985
2026-01-05,3.403148528405202,2.8124821838374547
2026-01-05,3.9041752224503763,2.8825680903275823
2026-01-05,4.654346338124572,2.9432857211790973
2026-01-05,4.903490759753593,3.0091950755896235
2026-01-06,0.5749486652977412,2.4419660147795574
2026-01-06,1.0732375085557837,2.4667233676748146
2026-01-06,1.568788501026694,2.5524369316762847
2026-01-06,2.0725530458590007,2.632685970580412
2026-01-06,2.403832991101985,2.635822395111177
2026-01-06,3.1512662559890487,2.764856799647583
2026-01-06,3.403148528405202,2.7780242004461657
2026-01-06,3.9041752224503763,2.8691685759525183
2026-01-06,4.654346338124572,2.962019245135208
2026-01-06,4.903490759753593,2.979874352687716
2026-01-07,0.5749486652977412,2.434588359627889
2026-01-07,1.0732375085557837,2.4558725762424665
2026-01-07,1.568788501026694,2.519691066970656
2026-01-07,2.0725530458590007,2.607554218663745
2026-01-07,2.403832991101985,2.6103241938143626
2026-01-07,3.1512662559890487,2.7605807640056925
2026-01-07,3.403148528405202,2.767047088937804
2026-01-07,3.9041752224503763,2.8543770766598557
2026-01-07,4.654346338124572,2.9248794562610616
2026-01-07,4.903490759753593,2.9635449868760624
2026-01-08,0.5749486652977412,2.4271396934458145
2026-01-08,1.0732375085557837,2.4592629596055007
2026-01-08,1.568788501026694,2.526301682457548
2026-01-08,2.0725530458590007,2.6125450830706507
2026-01-08,2.403832991101985,2.6044499043206772
2026-01-08,3.1512662559890487,2.7497566479121716
2026-01-08,3.403148528405202,2.773696169105208
2026-01-08,3.9041752224503763,2.8644672709634773
2026-01-08,4.654346338124572,2.9424413630659574
2026-01-08,4.903490759753593,2.970817257434486
2026-01-09,0.5749486652977412,2.4374316086629833
2026-01-09,1.0732375085557837,2.457893085699871
2026-01-09,1.568788501026694,2.519758947641389
2026-01-09,2.0725530458590007,2.5999218858825697
2026-01-09,2.403832991101985,2.607313801178802
2026-01-09,3.1512662559890487,2.752008584303898
2026-01-09,3.403148528405202,2.7833016348426427
2026-01-09,3.9041752224503763,2.86488131206881
2026-01-09,4.654346338124572,2.9227440783398095
2026-01-09,4.903490759753593,2.9698278116071766
2026-01-12,0.5749486652977412,2.432759222514446
2026-01-12,1.0732375085557837,2.448926985784397
2026-01-12,1.568788501026694,2.5198616682824184
2026-01-12,2.0725530458590007,2.6093795515314615
2026-01-12,2.403832991101985,2.604968950934657
2026-01-12,3.1512662559890487,2.739099780490061
2026-01-12,3.403148528405202,2.776798647628468
2026-01-12,3.9041752224503763,2.8578043175364582
2026-01-12,4.654346338124572,2.9335305879753166
2026-01-12,4.903490759753593,2.957393400547973
2026-01-13,0.5749486652977412,2.425115234939686
2026-01-13,1.0732375085557837,2.4619956827956853
2026-01-13,1.568788501026694,2.5331646792408415
2026-01-13,2.0725530458590007,2.597194121634663
2026-01-13,2.403832991101985,2.605648889985961
2026-01-13,3.1512662559890487,2.751200780696688
2026-01-13,3.403148528405202,2.79234723435605
2026-01-13,3.9041752224503763,2.8748745456520117
2026-01-13,4.654346338124572,2.9394709295126833
2026-01-13,4.903490759753593,2.9682290991289393
2026-01-14,0.5749486652977412,2.417395478684098
2026-01-14,1.0732375085557837,2.4364220818982885
2026-01-14,1.568788501026694,2.499999999999986
2026-01-14,2.0725530458590007,2.5728240628703234
2026-01-14,2.403832991101985,2.597532107064861
2026-01-14,3.1512662559890487,2.7370304860499184
2026-01-14,3.403148528405202,2.7813124399552804
2026-01-14,3.9041752224503763,2.8558490974997106
2026-01-14,4.654346338124572,2.8998851305151363
2026-01-14,4.903490759753593,2.950666067536458
2026-01-15,0.5749486652977412,2.409598821637351
2026-01-15,1.0732375085557837,2.430121769953937
2026-01-15,1.568788501026694,2.5000000000000058
2026-01-15,2.0725530458590007,2.572739599367039
2026-01-15,2.403832991101985,2.580595396202184
2026-01-15,3.1512662559890487,2.726129911135799
2026-01-15,3.403148528405202,2.7554821775010723
2026-01-15,3.9041752224503763,2.8395909012631075
2026-01-15,4.654346338124572,2.8976347253037336
2026-01-15,4.903490759753593,2.926008136323931
2026-01-16,0.5749486652977412,2.4201584139621044
2026-01-16,1.0732375085557837,2.4286512307268313
2026-01-16,1.568788501026694,2.4933350032566732
2026-01-16,2.0725530458590007,2.589922896769214
2026-01-16,2.403832991101985,2.5812502171177574
2026-01-16,3.1512662559890487,2.728372695320621
2026-01-16,3.403148528405202,2.7532861705503873
2026-01-16,3.9041752224503763,2.837211443841175
2026-01-16,4.654346338124572,2.9093940544473997
2026-01-16,4.903490759753593,2.924996543055476
2026-01-19,0.5749486652977412,2.4150457712894724
2026-01-19,1.0732375085557837,2.4339938753593997
2026-01-19,1.568788501026694,2.5067009825989697
2026-01-19,2.0725530458590007,2.5841260007821143
2026-01-19,2.403832991101985,2.5876453882956887
2026-01-19,3.1512662559890487,2.7384244656235417
2026-01-19,3.403148528405202,2.776335430993199
2026-01-19,3.9041752224503763,2.8551186771048305
2026-01-19,4.654346338124572,2.9178520022431162
2026-01-19,4.903490759753593,2.952771026738569
